,,Uranus,,Neptune,,,,,
L,m,glm,hlm,glm,hlm,,,,
1,0,11854.69,,10335.72,,"gcoeff[(""Uranus"",""g"",1,0)]=11854.69",,"gcoeff[(""Neptune"",""g"",1,0)]=10335.72",
1,1,11507.23,-15811.9,3558.89,-9772.35,"gcoeff[(""Uranus"",""g"",1,1)]=11507.23","gcoeff[(""Uranus"",""h"",1,1)]=-15811.9","gcoeff[(""Neptune"",""g"",1,1)]=3558.89","gcoeff[(""Neptune"",""h"",1,1)]=-9772.35"
2,0,-5877.08,,8565.94,,"gcoeff[(""Uranus"",""g"",2,0)]=-5877.08",,"gcoeff[(""Neptune"",""g"",2,0)]=8565.94",
2,1,-13084.9,5850.66,-405.99,lll38.62,"gcoeff[(""Uranus"",""g"",2,1)]=-13084.9","gcoeff[(""Uranus"",""h"",2,1)]=5850.66","gcoeff[(""Neptune"",""g"",2,1)]=-405.99","gcoeff[(""Neptune"",""g"",2,1)]=lll38.62"
2,2,-604.66,4184.69,4643.56,-743.14,"gcoeff[(""Uranus"",""g"",2,2)]=-604.66","gcoeff[(""Uranus"",""h"",2,2)]=4184.69","gcoeff[(""Neptune"",""g"",2,2)]=4643.56","gcoeff[(""Neptune"",""g"",2,2)]=-743.14"
3,0,4182.82,,-5749.29,,"gcoeff[(""Uranus"",""g"",3,0)]=4182.82",,"gcoeff[(""Neptune"",""g"",3,0)]=-5749.29",
3,1,-1335.73,-5816.66,11631.96,-3904.67,"gcoeff[(""Uranus"",""g"",3,1)]=-1335.73","gcoeff[(""Uranus"",""h"",3,1)]=-5816.66","gcoeff[(""Neptune"",""g"",3,1)]=11631.96","gcoeff[(""Neptune"",""g"",3,1)]=-3904.67"
3,2,-6776.28,-357.27,-1888.7,902.89,"gcoeff[(""Uranus"",""g"",3,2)]=-6776.28","gcoeff[(""Uranus"",""h"",3,2)]=-357.27","gcoeff[(""Neptune"",""g"",3,2)]=-1888.7","gcoeff[(""Neptune"",""g"",3,2)]=902.89"
3,3,-4021.38,-2265.15,-2920.49,-245.31,"gcoeff[(""Uranus"",""g"",3,3)]=-4021.38","gcoeff[(""Uranus"",""h"",3,3)]=-2265.15","gcoeff[(""Neptune"",""g"",3,3)]=-2920.49","gcoeff[(""Neptune"",""g"",3,3)]=-245.31"
4,0,398.37,,1851.87,,"gcoeff[(""Uranus"",""g"",4,0)]=398.37",,"gcoeff[(""Neptune"",""g"",4,0)]=1851.87",
4,1,-431.86,-1013.87,1331.63,-2139.6,"gcoeff[(""Uranus"",""g"",4,1)]=-431.86","gcoeff[(""Uranus"",""h"",4,1)]=-1013.87","gcoeff[(""Neptune"",""g"",4,1)]=1331.63","gcoeff[(""Neptune"",""g"",4,1)]=-2139.6"
4,2,2168.91,414.66,5410.37,3233.01,"gcoeff[(""Uranus"",""g"",4,2)]=2168.91","gcoeff[(""Uranus"",""h"",4,2)]=414.66","gcoeff[(""Neptune"",""g"",4,2)]=5410.37","gcoeff[(""Neptune"",""g"",4,2)]=3233.01"
4,3,465.44,-637.84,2219.7,-50.79,"gcoeff[(""Uranus"",""g"",4,3)]=465.44","gcoeff[(""Uranus"",""h"",4,3)]=-637.84","gcoeff[(""Neptune"",""g"",4,3)]=2219.7","gcoeff[(""Neptune"",""g"",4,3)]=-50.79"
4,4,-1758.43,65.55,-2912.02,-1811.49,"gcoeff[(""Uranus"",""g"",4,4)]=-1758.43","gcoeff[(""Uranus"",""h"",4,4)]=65.55","gcoeff[(""Neptune"",""g"",4,4)]=-2912.02","gcoeff[(""Neptune"",""g"",4,4)]=-1811.49"
5,0,292.22,,-2346.74,,"gcoeff[(""Uranus"",""g"",5,0)]=292.22",,"gcoeff[(""Neptune"",""g"",5,0)]=-2346.74",
5,1,-51.66,520.22,-2065.29,1323.32,"gcoeff[(""Uranus"",""g"",5,1)]=-51.66","gcoeff[(""Uranus"",""h"",5,1)]=520.22","gcoeff[(""Neptune"",""g"",5,1)]=-2065.29","gcoeff[(""Neptune"",""g"",5,1)]=1323.32"
5,2,14.56,-383.17,1925.34,-1762.77,"gcoeff[(""Uranus"",""g"",5,2)]=14.56","gcoeff[(""Uranus"",""h"",5,2)]=-383.17","gcoeff[(""Neptune"",""g"",5,2)]=1925.34","gcoeff[(""Neptune"",""g"",5,2)]=-1762.77"
5,3,36.97,353.48,-777.38,1477.53,"gcoeff[(""Uranus"",""g"",5,3)]=36.97","gcoeff[(""Uranus"",""h"",5,3)]=353.48","gcoeff[(""Neptune"",""g"",5,3)]=-777.38","gcoeff[(""Neptune"",""g"",5,3)]=1477.53"
5,4,241.05,22.32,1661.95,-2025.08,"gcoeff[(""Uranus"",""g"",5,4)]=241.05","gcoeff[(""Uranus"",""h"",5,4)]=22.32","gcoeff[(""Neptune"",""g"",5,4)]=1661.95","gcoeff[(""Neptune"",""g"",5,4)]=-2025.08"
5,5,-263.43,-331.66,-1909.03,-2940.09,"gcoeff[(""Uranus"",""g"",5,5)]=-263.43","gcoeff[(""Uranus"",""h"",5,5)]=-331.66","gcoeff[(""Neptune"",""g"",5,5)]=-1909.03","gcoeff[(""Neptune"",""g"",5,5)]=-2940.09"
6,0,-100.69,,-2269.28,,"gcoeff[(""Uranus"",""g"",6,0)]=-100.69",,"gcoeff[(""Neptune"",""g"",6,0)]=-2269.28",
6,1,61.04,12.06,-740.16,1624.96,"gcoeff[(""Uranus"",""g"",6,1)]=61.04","gcoeff[(""Uranus"",""h"",6,1)]=12.06","gcoeff[(""Neptune"",""g"",6,1)]=-740.16","gcoeff[(""Neptune"",""g"",6,1)]=1624.96"
6,2,-94.53,63.35,62.25,518.82,"gcoeff[(""Uranus"",""g"",6,2)]=-94.53","gcoeff[(""Uranus"",""h"",6,2)]=63.35","gcoeff[(""Neptune"",""g"",6,2)]=62.25","gcoeff[(""Neptune"",""g"",6,2)]=518.82"
6,3,59.67,-44.29,790.5,1200.43,"gcoeff[(""Uranus"",""g"",6,3)]=59.67","gcoeff[(""Uranus"",""h"",6,3)]=-44.29","gcoeff[(""Neptune"",""g"",6,3)]=790.5","gcoeff[(""Neptune"",""g"",6,3)]=1200.43"
6,4,-60.99,37.32,-330.89,988.61,"gcoeff[(""Uranus"",""g"",6,4)]=-60.99","gcoeff[(""Uranus"",""h"",6,4)]=37.32","gcoeff[(""Neptune"",""g"",6,4)]=-330.89","gcoeff[(""Neptune"",""g"",6,4)]=988.61"
6,5,27.69,26.18,-1353.39,-800.07,"gcoeff[(""Uranus"",""g"",6,5)]=27.69","gcoeff[(""Uranus"",""h"",6,5)]=26.18","gcoeff[(""Neptune"",""g"",6,5)]=-1353.39","gcoeff[(""Neptune"",""g"",6,5)]=-800.07"
6,6,31.42,-58.62,424.12,-694.41,"gcoeff[(""Uranus"",""g"",6,6)]=31.42","gcoeff[(""Uranus"",""h"",6,6)]=-58.62","gcoeff[(""Neptune"",""g"",6,6)]=424.12","gcoeff[(""Neptune"",""g"",6,6)]=-694.41"
7,0,2.76,,-168.26,,"gcoeff[(""Uranus"",""g"",7,0)]=2.76",,"gcoeff[(""Neptune"",""g"",7,0)]=-168.26",
7,1,-12.32,-21.49,21.35,-300.27,"gcoeff[(""Uranus"",""g"",7,1)]=-12.32","gcoeff[(""Uranus"",""h"",7,1)]=-21.49","gcoeff[(""Neptune"",""g"",7,1)]=21.35","gcoeff[(""Neptune"",""g"",7,1)]=-300.27"
7,2,8.86,5.46,1018.2,701.47,"gcoeff[(""Uranus"",""g"",7,2)]=8.86","gcoeff[(""Uranus"",""h"",7,2)]=5.46","gcoeff[(""Neptune"",""g"",7,2)]=1018.2","gcoeff[(""Neptune"",""g"",7,2)]=701.47"
7,3,-17.05,-6.88,1135.41,637.15,"gcoeff[(""Uranus"",""g"",7,3)]=-17.05","gcoeff[(""Uranus"",""h"",7,3)]=-6.88","gcoeff[(""Neptune"",""g"",7,3)]=1135.41","gcoeff[(""Neptune"",""g"",7,3)]=637.15"
7,4,13.01,3.04,-688.69,254,"gcoeff[(""Uranus"",""g"",7,4)]=13.01","gcoeff[(""Uranus"",""h"",7,4)]=3.04","gcoeff[(""Neptune"",""g"",7,4)]=-688.69","gcoeff[(""Neptune"",""g"",7,4)]=254"
7,5,-11.65,-4.86,-50.97,427.65,"gcoeff[(""Uranus"",""g"",7,5)]=-11.65","gcoeff[(""Uranus"",""h"",7,5)]=-4.86","gcoeff[(""Neptune"",""g"",7,5)]=-50.97","gcoeff[(""Neptune"",""g"",7,5)]=427.65"
7,6,0.83,5.5,-692.1,-904.05,"gcoeff[(""Uranus"",""g"",7,6)]=0.83","gcoeff[(""Uranus"",""h"",7,6)]=5.5","gcoeff[(""Neptune"",""g"",7,6)]=-692.1","gcoeff[(""Neptune"",""g"",7,6)]=-904.05"
7,7,8.75,1.57,920.7,382.7,"gcoeff[(""Uranus"",""g"",7,7)]=8.75","gcoeff[(""Uranus"",""h"",7,7)]=1.57","gcoeff[(""Neptune"",""g"",7,7)]=920.7","gcoeff[(""Neptune"",""g"",7,7)]=382.7"
8,0,2.51,,212.95,,"gcoeff[(""Uranus"",""g"",8,0)]=2.51",,"gcoeff[(""Neptune"",""g"",8,0)]=212.95",
8,1,0.48,1.82,-89.99,-489.09,"gcoeff[(""Uranus"",""g"",8,1)]=0.48","gcoeff[(""Uranus"",""h"",8,1)]=1.82","gcoeff[(""Neptune"",""g"",8,1)]=-89.99","gcoeff[(""Neptune"",""g"",8,1)]=-489.09"
8,2,1.5,-2.79,908.86,352.13,"gcoeff[(""Uranus"",""g"",8,2)]=1.5","gcoeff[(""Uranus"",""h"",8,2)]=-2.79","gcoeff[(""Neptune"",""g"",8,2)]=908.86","gcoeff[(""Neptune"",""g"",8,2)]=352.13"
8,3,0.57,1.66,108.49,235,"gcoeff[(""Uranus"",""g"",8,3)]=0.57","gcoeff[(""Uranus"",""h"",8,3)]=1.66","gcoeff[(""Neptune"",""g"",8,3)]=108.49","gcoeff[(""Neptune"",""g"",8,3)]=235"
8,4,-0.66,-2.41,-176.23,-57.24,"gcoeff[(""Uranus"",""g"",8,4)]=-0.66","gcoeff[(""Uranus"",""h"",8,4)]=-2.41","gcoeff[(""Neptune"",""g"",8,4)]=-176.23","gcoeff[(""Neptune"",""g"",8,4)]=-57.24"
8,5,0.95,1.75,-564.44,-15.1,"gcoeff[(""Uranus"",""g"",8,5)]=0.95","gcoeff[(""Uranus"",""h"",8,5)]=1.75","gcoeff[(""Neptune"",""g"",8,5)]=-564.44","gcoeff[(""Neptune"",""g"",8,5)]=-15.1"
8,6,-0.43,-1.81,239.92,-321.08,"gcoeff[(""Uranus"",""g"",8,6)]=-0.43","gcoeff[(""Uranus"",""h"",8,6)]=-1.81","gcoeff[(""Neptune"",""g"",8,6)]=239.92","gcoeff[(""Neptune"",""g"",8,6)]=-321.08"
8,7,-0.52,0.62,-37.8,-73.72,"gcoeff[(""Uranus"",""g"",8,7)]=-0.52","gcoeff[(""Uranus"",""h"",8,7)]=0.62","gcoeff[(""Neptune"",""g"",8,7)]=-37.8","gcoeff[(""Neptune"",""g"",8,7)]=-73.72"
8,8,0.1,1.12,317.41,204.16,"gcoeff[(""Uranus"",""g"",8,8)]=0.1","gcoeff[(""Uranus"",""h"",8,8)]=1.12","gcoeff[(""Neptune"",""g"",8,8)]=317.41","gcoeff[(""Neptune"",""g"",8,8)]=204.16"
9,0,-0.31,,-248.95,,"gcoeff[(""Uranus"",""g"",9,0)]=-0.31",,"gcoeff[(""Neptune"",""g"",9,0)]=-248.95",
9,1,0.19,0.32,-75.71,189.91,"gcoeff[(""Uranus"",""g"",9,1)]=0.19","gcoeff[(""Uranus"",""h"",9,1)]=0.32","gcoeff[(""Neptune"",""g"",9,1)]=-75.71","gcoeff[(""Neptune"",""g"",9,1)]=189.91"
9,2,-0.24,0.25,51.87,86.28,"gcoeff[(""Uranus"",""g"",9,2)]=-0.24","gcoeff[(""Uranus"",""h"",9,2)]=0.25","gcoeff[(""Neptune"",""g"",9,2)]=51.87","gcoeff[(""Neptune"",""g"",9,2)]=86.28"
9,3,0.34,-0.03,-96.24,330.79,"gcoeff[(""Uranus"",""g"",9,3)]=0.34","gcoeff[(""Uranus"",""h"",9,3)]=-0.03","gcoeff[(""Neptune"",""g"",9,3)]=-96.24","gcoeff[(""Neptune"",""g"",9,3)]=330.79"
9,4,-0.1,0.23,-369.89,-69.58,"gcoeff[(""Uranus"",""g"",9,4)]=-0.1","gcoeff[(""Uranus"",""h"",9,4)]=0.23","gcoeff[(""Neptune"",""g"",9,4)]=-369.89","gcoeff[(""Neptune"",""g"",9,4)]=-69.58"
9,5,0.16,-0.23,-266.32,-217.5,"gcoeff[(""Uranus"",""g"",9,5)]=0.16","gcoeff[(""Uranus"",""h"",9,5)]=-0.23","gcoeff[(""Neptune"",""g"",9,5)]=-266.32","gcoeff[(""Neptune"",""g"",9,5)]=-217.5"
9,6,-0.08,0.24,93.35,108.99,"gcoeff[(""Uranus"",""g"",9,6)]=-0.08","gcoeff[(""Uranus"",""h"",9,6)]=0.24","gcoeff[(""Neptune"",""g"",9,6)]=93.35","gcoeff[(""Neptune"",""g"",9,6)]=108.99"
9,7,0.16,-0.18,120.18,-279.72,"gcoeff[(""Uranus"",""g"",9,7)]=0.16","gcoeff[(""Uranus"",""h"",9,7)]=-0.18","gcoeff[(""Neptune"",""g"",9,7)]=120.18","gcoeff[(""Neptune"",""g"",9,7)]=-279.72"
9,8,-0.11,-0.02,-14.49,299,"gcoeff[(""Uranus"",""g"",9,8)]=-0.11","gcoeff[(""Uranus"",""h"",9,8)]=-0.02","gcoeff[(""Neptune"",""g"",9,8)]=-14.49","gcoeff[(""Neptune"",""g"",9,8)]=299"
9,9,-0.13,0.05,31.81,-105.64,"gcoeff[(""Uranus"",""g"",9,9)]=-0.13","gcoeff[(""Uranus"",""h"",9,9)]=0.05","gcoeff[(""Neptune"",""g"",9,9)]=31.81","gcoeff[(""Neptune"",""g"",9,9)]=-105.64"
10,0,-0.02,,-265.87,,"gcoeff[(""Uranus"",""g"",10,0)]=-0.02",,"gcoeff[(""Neptune"",""g"",10,0)]=-265.87",
10,1,-0.03,-0.06,-1.5,253.64,"gcoeff[(""Uranus"",""g"",10,1)]=-0.03","gcoeff[(""Uranus"",""h"",10,1)]=-0.06","gcoeff[(""Neptune"",""g"",10,1)]=-1.5","gcoeff[(""Neptune"",""g"",10,1)]=253.64"
10,2,-0.02,0.02,-123.98,-13.24,"gcoeff[(""Uranus"",""g"",10,2)]=-0.02","gcoeff[(""Uranus"",""h"",10,2)]=0.02","gcoeff[(""Neptune"",""g"",10,2)]=-123.98","gcoeff[(""Neptune"",""g"",10,2)]=-13.24"
10,3,-0.05,-0.01,0.56,206.48,"gcoeff[(""Uranus"",""g"",10,3)]=-0.05","gcoeff[(""Uranus"",""h"",10,3)]=-0.01","gcoeff[(""Neptune"",""g"",10,3)]=0.56","gcoeff[(""Neptune"",""g"",10,3)]=206.48"
10,4,0.02,0.02,-292.27,-41.34,"gcoeff[(""Uranus"",""g"",10,4)]=0.02","gcoeff[(""Uranus"",""h"",10,4)]=0.02","gcoeff[(""Neptune"",""g"",10,4)]=-292.27","gcoeff[(""Neptune"",""g"",10,4)]=-41.34"
10,5,-0.03,0.01,40.23,-204.7,"gcoeff[(""Uranus"",""g"",10,5)]=-0.03","gcoeff[(""Uranus"",""h"",10,5)]=0.01","gcoeff[(""Neptune"",""g"",10,5)]=40.23","gcoeff[(""Neptune"",""g"",10,5)]=-204.7"
10,6,0.03,0,-13.76,141.95,"gcoeff[(""Uranus"",""g"",10,6)]=0.03",,"gcoeff[(""Neptune"",""g"",10,6)]=-13.76","gcoeff[(""Neptune"",""g"",10,6)]=141.95"
10,7,-0.03,0.01,205.04,-111.46,"gcoeff[(""Uranus"",""g"",10,7)]=-0.03","gcoeff[(""Uranus"",""h"",10,7)]=0.01","gcoeff[(""Neptune"",""g"",10,7)]=205.04","gcoeff[(""Neptune"",""g"",10,7)]=-111.46"
10,8,0.03,0,-114.74,75.81,"gcoeff[(""Uranus"",""g"",10,8)]=0.03",,"gcoeff[(""Neptune"",""g"",10,8)]=-114.74","gcoeff[(""Neptune"",""g"",10,8)]=75.81"
10,9,0,-0.01,45.55,57.69,"gcoeff[(""Uranus"",""g"",10,9)]=0","gcoeff[(""Uranus"",""h"",10,9)]=-0.01","gcoeff[(""Neptune"",""g"",10,9)]=45.55","gcoeff[(""Neptune"",""g"",10,9)]=57.69"
10,10,-0.01,-0.01,-28,-82.26,"gcoeff[(""Uranus"",""g"",10,10)]=-0.01","gcoeff[(""Uranus"",""h"",10,10)]=-0.01","gcoeff[(""Neptune"",""g"",10,10)]=-28","gcoeff[(""Neptune"",""g"",10,10)]=-82.26"
11,0,0.01,,-43.3,,"gcoeff[(""Uranus"",""g"",11,0)]=0.01",,"gcoeff[(""Neptune"",""g"",11,0)]=-43.3",
11,1,0,0,5.65,-4.64,"gcoeff[(""Uranus"",""g"",11,1)]=0","gcoeff[(""Uranus"",""h"",11,1)]=0","gcoeff[(""Neptune"",""g"",11,1)]=5.65","gcoeff[(""Neptune"",""g"",11,1)]=-4.64"
11,2,0,-0.01,67.61,-18.37,"gcoeff[(""Uranus"",""g"",11,2)]=0","gcoeff[(""Uranus"",""h"",11,2)]=-0.01","gcoeff[(""Neptune"",""g"",11,2)]=67.61","gcoeff[(""Neptune"",""g"",11,2)]=-18.37"
11,3,0,0,-9.96,-12.32,"gcoeff[(""Uranus"",""g"",11,3)]=0","gcoeff[(""Uranus"",""h"",11,3)]=0","gcoeff[(""Neptune"",""g"",11,3)]=-9.96","gcoeff[(""Neptune"",""g"",11,3)]=-12.32"
11,4,0,-0.01,-51.47,-15.99,"gcoeff[(""Uranus"",""g"",11,4)]=0","gcoeff[(""Uranus"",""h"",11,4)]=-0.01","gcoeff[(""Neptune"",""g"",11,4)]=-51.47","gcoeff[(""Neptune"",""g"",11,4)]=-15.99"
11,5,0,0,61.2,-161.89,,,"gcoeff[(""Neptune"",""g"",11,5)]=61.2","gcoeff[(""Neptune"",""g"",11,5)]=-161.89"
11,6,0,0,42.62,67.48,,,"gcoeff[(""Neptune"",""g"",11,6)]=42.62","gcoeff[(""Neptune"",""g"",11,6)]=67.48"
11,7,0,0,90.44,19.19,,,"gcoeff[(""Neptune"",""g"",11,7)]=90.44","gcoeff[(""Neptune"",""g"",11,7)]=19.19"
11,8,0,0,-34.15,-57.06,,,"gcoeff[(""Neptune"",""g"",11,8)]=-34.15","gcoeff[(""Neptune"",""g"",11,8)]=-57.06"
11,9,0,0,-35.93,95.12,,,"gcoeff[(""Neptune"",""g"",11,9)]=-35.93","gcoeff[(""Neptune"",""g"",11,9)]=95.12"
11,10,0,0,36.04,-69.43,,,"gcoeff[(""Neptune"",""g"",11,10)]=36.04","gcoeff[(""Neptune"",""g"",11,10)]=-69.43"
11,11,0,0,-25.12,7.02,,,"gcoeff[(""Neptune"",""g"",11,11)]=-25.12","gcoeff[(""Neptune"",""g"",11,11)]=7.02"
12,0,0,,35.19,,,,"gcoeff[(""Neptune"",""g"",12,0)]=35.19",
12,1,0,,-16.82,-81.58,,,"gcoeff[(""Neptune"",""g"",12,1)]=-16.82","gcoeff[(""Neptune"",""g"",12,1)]=-81.58"
12,2,0,0,114.25,-17.2,,,"gcoeff[(""Neptune"",""g"",12,2)]=114.25","gcoeff[(""Neptune"",""g"",12,2)]=-17.2"
12,3,0,0,-62.07,-48.73,,,"gcoeff[(""Neptune"",""g"",12,3)]=-62.07","gcoeff[(""Neptune"",""g"",12,3)]=-48.73"
12,4,0,0,33.69,-28.68,,,"gcoeff[(""Neptune"",""g"",12,4)]=33.69","gcoeff[(""Neptune"",""g"",12,4)]=-28.68"
12,5,0,0,0.81,-57.61,,,"gcoeff[(""Neptune"",""g"",12,5)]=0.81","gcoeff[(""Neptune"",""g"",12,5)]=-57.61"
12,6,0,0,52.25,-14.81,,,"gcoeff[(""Neptune"",""g"",12,6)]=52.25","gcoeff[(""Neptune"",""g"",12,6)]=-14.81"
12,7,0,0,-5.57,89.58,,,"gcoeff[(""Neptune"",""g"",12,7)]=-5.57","gcoeff[(""Neptune"",""g"",12,7)]=89.58"
12,8,0,0,10.36,-96.77,,,"gcoeff[(""Neptune"",""g"",12,8)]=10.36","gcoeff[(""Neptune"",""g"",12,8)]=-96.77"
12,9,0,0,-59.35,72.68,,,"gcoeff[(""Neptune"",""g"",12,9)]=-59.35","gcoeff[(""Neptune"",""g"",12,9)]=72.68"
