NAME,MASS,MASSUPPER,MASSLOWER,UMASS,R,RUPPER,RLOWER,UR
WASP-14 b,2444.753433,93.14601029,93.14601029,93.14601029,14.35870432,0.840673555,0.91913642,0.879904987
NN Ser d,204.2356287,31.0285629,31.0285629,31.0285629,,,,
HAT-P-27 b,196.2469903,9.520037687,9.520037687,9.520037687,11.43316035,0.784628651,0.672538844,0.728583748
HD 116029 b,606.2351863,61.35894627,61.35894627,61.35894627,,,,
HD 219828 b,19.77407284,1.558664829,1.558664829,1.558664829,,,,
HD 1237 b,1072.5675,45.79864497,45.79864497,45.79864497,,,,
WASP-21 b,95.43142955,4.251305684,4.251305684,4.251305684,11.99360938,0.672538844,0.672538844,0.672538844
HD 4308 b,15.17180227,0.900908392,0.900908392,0.900908392,,,,
WASP-25 b,183.8473752,14.27822909,14.27822909,14.27822909,13.67495649,0.672538844,0.560449037,0.61649394
HD 24040 b,1278.223451,103.5519618,103.5519618,103.5519618,,,,
HD 200964 b,619.3387652,42.99009958,42.99009958,42.99009958,,,,
HD 147018 b,676.0308923,24.04660867,24.04660867,24.04660867,,,,
HD 218566 b,67.65425771,6.528239234,6.528239234,6.528239234,,,,
HD 45364 b,59.47906101,2.686182822,2.686182822,2.686182822,,,,
HD 141937 b,3011.375957,130.5924347,130.5924347,130.5924347,,,,
HD 156668 b,4.150112875,0.587436334,0.587436334,0.587436334,,,,
MOA-2009-BLG-387L b,826.3231897,508.5065783,1303.048107,905.7773426,,,,
WASP-103 b,472.8825143,30.49059472,30.49059472,30.49059472,17.12732256,0.818255593,0.526822094,0.672538844
GJ 649 b,103.3987742,11.50512024,11.50512024,11.50512024,,,,
HD 132406 b,1781.346216,412.417904,412.417904,412.417904,,,,
HD 38529 c,3896.527001,134.7164231,134.7164231,134.7164231,,,,
WASP-19 b,360.2101692,12.50490774,12.50490774,12.50490774,15.53564729,0.358687383,0.358687383,0.358687383
HD 126614 A b,122.5837739,13.84482257,13.84482257,13.84482257,,,,
HD 177830 b,419.4130476,27.09370722,27.09370722,27.09370722,,,,
HD 38283 b,107.4719119,12.5937057,12.5937057,12.5937057,,,,
HD 217786 b,4190.984092,364.1796987,364.1796987,364.1796987,,,,
HD 32518 b,1063.252295,120.7788934,120.7788934,120.7788934,,,,
WASP-18 b,3241.920127,106.6652933,106.6652933,106.6652933,14.20177859,0.694956805,0.504404133,0.599680469
CoRoT-6 b,938.7158562,105.3177509,105.3177509,105.3177509,13.06967153,0.392314326,0.392314326,0.392314326
HD 73267 b,973.3356197,33.38345686,33.38345686,33.38345686,,,,
HD 147513 b,374.9123657,26.76181133,26.76181133,26.76181133,,,,
HD 72659 b,1008.781706,47.02573491,47.02573491,47.02573491,,,,
BD +14 4559 b,482.8555996,59.79052129,59.79052129,59.79052129,,,,
HD 197037 b,256.580978,19.119752,19.119752,19.119752,,,,
HD 70642 b,606.8517505,33.13333519,33.13333519,33.13333519,,,,
KELT-2 A b,483.284652,28.52362771,28.52362771,28.52362771,14.41474922,0.728583748,0.526822094,0.627702921
M 67 YBP 1194 b,110.0687914,13.18118971,13.18118971,13.18118971,,,,
HD 40307 c,6.720804319,0.373863571,0.373863571,0.373863571,,,,
HD 142 b,414.9731495,62.74748704,62.74748704,62.74748704,,,,
WASP-10 b,1014.292646,36.82731767,36.82731767,36.82731767,12.10569919,0.224179615,0.224179615,0.224179615
GJ 328 b,730.9782063,41.31615949,41.31615949,41.31615949,,,,
WASP-17 b,161.6246843,9.559987235,9.559987235,9.559987235,21.65575077,0.582866998,1.120898073,0.851882536
HAT-P-17 b,168.4930191,6.204384107,6.204384107,6.204384107,11.32107054,0.325060441,0.325060441,0.325060441
HD 102329 b,1423.208211,122.7388684,122.7388684,122.7388684,,,,
HD 159868 b,699.2092578,30.81467232,30.81467232,30.81467232,,,,
WASP-75 b,340.0637742,15.89083057,15.89083057,15.89083057,14.23540553,0.538031075,0.538031075,0.538031075
HD 114783 b,351.2032465,15.43177626,15.43177626,15.43177626,,,,
GJ 581 e,1.949665072,0.224776434,0.224776434,0.224776434,,,,
epsilon Ret b,437.5349508,30.27638633,30.27638633,30.27638633,,,,
GJ 674 b,11.08512559,0.444190031,0.444190031,0.444190031,,,,
HD 168443 c,5525.464261,184.551339,184.551339,184.551339,,,,
