MASS,R
0.0014,0.054
,0.114
,0.071
0.141900591,1.011544678
0.097536992,0.975092618
0.022,0.147
6.9,
0.017,
1.24,1.67
0.0195,0.2525
,0.2661
,0.23056
1.82,
2.17,
0.08,
0.52,
1.99,
0.05074,0.219624
0.025952,0.076549
0.84,
,0.33
0.088,0.44
,0.11756
,0.11482
,0.24696
,0.1613
,0.49301
,0.23785
,0.45109
,0.19411
,0.23785
,0.25608
,0.09295
,0.14945
0.892,1.284
,0.21689
,0.11027
,0.10115
,0.15766
,0.09386
0.161,0.515
,0.112
,0.23238
,0.2096
2.93,
0.78,
3.71,
,0.23785
,0.26883
,0.28342
,0.27704
,0.11574
,0.15674
4.01,
5.76,
0.42,
3,
1.9,
3.67,
3.82,
5.02,
,0.17315
,0.20413
6.1,
,0.16768
,0.10936
,0.108445
0.68,1.72
0.09406,0.10298
0.10318,0.10298
0.46,1.045
0.57,1.39
,0.33627
,0.25425
,0.28433
,0.11391
7.341,1.281
1.6,
21.42,
12.47,
,0.22145
,0.11756
4.87,1.12
2.43,
0.22,0.764
,0.18317
,0.15857
0.022,
9.71,
,0.37272
,0.35905
,0.14945
,0.20687
,0.21689
0.603,1.419
,0.226
,0.3545
2.3,
1.57,
,0.14763
,0.21324
1.83,
3.2,
0.378,1.115
1.02,1.24
,0.23785
,0.18226
,0.29162
,0.26063
7.8,
0.034099,0.319867
9.83346,
17.4,
2.44,
85.2,
2.26,1.3
,0.72
,0.12029
,0.09386
2.82,
4.59,1.438
0.076,
0.07,
0.027,
0.66,1.4
1.45,
12,
0.27619,0.2661
0.20856,0.3062
,0.25699
,0.24241
,0.26792
,0.2342
,0.27612
,0.19866
2.3,
10.39,
14.3,
0.5,1.407
0.0087,
0.0097,
10.3,
,0.436
,0.3419
2,
1.23,
0.016829,
0.62,
0.505,0.96
,0.2369387
,0.410086
0.282798,
0.59,1.164
0.96,
4.01,1.49
1.6,
6,
3.31,1.465
1.5,
,0.11118
,0.10662
,0.12394
1.077,1.03
,0.195019
,0.156744
,0.138518
,0.44836
,0.35085
,0.20049
0.7,
1.82,
3,
0.058,
7.2,
,0.13214
,0.08019
,0.21233
,0.2342
2.487,1.144
0.028091,0.202309
0.011954,0.107534
,0.080195
,0.052856
,0.042831
1.169,1.178
2.244,1.038
2.26,
0.778,1.107
2.37,
2.37,
2.86,1.13
,0.2342
,0.22509
,0.13123
2.147,1.08
2.1,
,0.19866
,0.18226
0.526,0.969
0.237,0.912
,0.39641678
,0.15583
,0.21324
,0.1777
2.82,1.45
0.83,1.1
0.917,1.706
22,1.05
6.5,
0.9,
3.191,1.095
0.0239,
0.0186,
0.478,1.537
0.884,0.962
2.2756,
0.7142,
0.021,
0.046,
0.52,1.26
2.18,1.385
0.178,
2.24,
2.58,
1.56,
,0.18864
,0.15948
,0.13943
0.000173874,0.034901518
0.00256374,0.08656491
0.003145701,0.091130294
0.000337995,0.048489079
1,1
0.299,0.832944
0.0457,0.362775
0.053953,0.35221925
7.75814E-06,0.0164379
,0.17406
,0.1449
0.72,1.32
7,1.1
10,1.3
10,1.2
9,
0.015099,
0.02202,
4.1,
,0.38366
,0.36088
,0.14672
,0.29071
,0.1531
1.832,1.264
0.66,0.96
0.38,
1.56,
,0.27704
,0.21416
0.109,
0.36,
0.91,
1.44,
15.04,
,0.20595
,0.26883
,0.20869
,0.15128
2.7,
1.057,1.33
,0.20687
,0.14125
,0.11118
,0.15036
,0.13578
,0.198664
0.036805,0.165857
0.202310599,0.314
0.019192763,0.233
,0.16768
14,
0.62,1.02
,0.42467
,0.18955
,0.328069
0.3,0.26427
2.03,1.69
0.033,0.1459
0.818,1.009
15,
,0.11391
,0.15948
,0.13761
,0.13305
10,
1.15,
6.292,
1.21,
2.24,
0.975,1.277
6.05,
1.26,
0.53,1.17
,0.19593
,0.11209
0.622,
0.079,
1.47,1.15
,0.16586
,0.16768
,0.14945
0.714,1.38
1,1.09
1.41,1.01
8.78,
0.62,
,0.10207
,0.09022
1.6,
,0.14854
,0.12667
,0.13487
,0.10936
0.33,
,0.1367
,0.11482
,0.22054
,0.16768
,0.20778
,0.10936
,0.11574
,0.19593
,0.226
,0.1449
,0.21416
0.47,
0.13,
0.0196,
0.37,
0.069,
,0.18044
,0.19411
,0.20687
0.033,
0.038,
0.058,
1.404,1.736
8.1,
1.17,1.227
0.0167,
0.1416,
,0.10845
,0.11574
0.7,0.975
0.011167,0.181349
2.49,
1.272,1.137
0.249,
,0.21324
,0.23329
,0.17224
2.12,
6.56,
4.24,0.84
,0.24241
,0.27977
,0.14854
,0.13032
2,
,0.28068
,0.34903
1.8,
1.253,1.169
,0.08475
,0.09204
0.95,
0.054,
0.076,
0.914,1.117
0.91,1.443
1.5,
22,
1.33,
2.49,
,0.17315
,0.17862
10,
7,
2.73,
,0.20049
,0.12485
0.266,
,0.166
19.4,
0.356,0.718
0.68,
19.8,
0.63,1.63
0.3,
,0.26883
,0.32625
,0.25608
,0.2
6,
6.5,1.53
0.0325,
0.036,
0.18,0.66
9.18,
2.83,
0.25,0.978
,0.17862
,0.13578
,0.19958
1.9,
10.43,1.165
8.82,
0.36,
0.93,
0.172,
,0.21416
,0.13852
,0.22509
,0.20687
3.53,
1.55,1.112
0.96,1.33
1.21,
2,
1.33,1.164
1.22,1.48
10.98,
,0.25699
,0.22509
5.9,
1.3,
0.1872,
0.6579,
,0.19593
,0.13943
0.48,
1.5,
,0.07473
,0.07199
14,1.7
0.00535,0.26428
0.01982,0.64703
0.016,
0.0573,
0.072,
1.308,0.885
,0.113
,0.07837
1.37,
0.223,
0.45,
,0.22418
,0.25972
6.96,
1.74,
,0.11756
,0.1212
2.4,
,0.29708
,0.35359
,0.75274
,0.27977
,0.2178
,0.15766
,0.25152
13,
2.5,
0.452,1.72
0.618,
,0.13305
,0.16312
1.32,1.13
2.31,0.941
,0.19137
,0.20231
,0.2178
,0.10024
,0.0729
0.07046,0.2096
0.10286,0.4921
0.588,1.158
2.54,
2.9,
,0.21416
,0.20322
,0.24332
,0.13396
,0.12029
,0.10024
,0.11938
,0.09386
0.92,1.21
0.0084933,
0.00754968,
0.015099,
14.4,
0.5,
0.6,
0.003828,0.100243
0.012848,0.180438
,0.20504
,0.22691
,0.17862
0.005882,0.109356
1.98,
0.763,1.827
,0.21324
,0.20687
,0.36999
,0.32898
0.672,0.916
0.46,1.27
,0.21962
,0.18408
0.01258,
0.020761624,
0.029884156,
0.0110099,
0.01635764,
0.02233447,
0.04,
5.5,
4.21,
0.36,
1.85,
,0.922238
,0.11209
,0.11118
,0.09295
,0.08293
2.96,1.166
3.09,
5.9,
2.5,1.2
1.25,
0.47,
2.6,
,0.12303
,0.15948
,0.12303
0.21,
,0.18408
,0.10662
13.65,
,0.14672
,0.16403
,0.267923
0.015963,0.155832
0.026041,0.1977527
3.1,
0.61,
0.005222,
3.88,
0.502,
0.0166,
0.0358,
0.03,
0.92,
0.042,
,0.89
6.97,
,0.18226
,0.14307
,0.17588
,0.15766
21,
7.6,1.09
,0.10662
,0.09933
,0.10753
1.07,1.27
0.033344,
0.021391,
0.092484,
,0.19684
,0.17132
,0.200487
0.023089,0.120292
,0.14672
0.019975,0.130316
0.008525,0.077461
,0.36179
,0.31258
,0.25334
,0.15219
1.26,
0.636,1.653
3.5,
,0.21416
,0.26063
,0.20504
,0.25152
,0.2497
,0.09933
0.22,
2.101,1.31
5.9,
1.068,
,0.16495
,0.14307
,0.24332
,0.12849
1.696,1.136
0.433,1.614
5.01,
2.2,1.2
,0.30711
,0.23056
0.05,
0.65,
9.61,
0.012048,0.14672
0.003177,0.14672
,0.05559
,0.14581
,0.15128
0.0351,
0.1507,
,0.17953
,0.15948
6.9,
1.36,
0.132,
7.6,
0.43,1.15
1.7,
0.023754977,0.213245
9,
0.675,
0.652,
0.696,
0.56,1.7
0.0263,
0.0318,
0.333,0.7538
0.43,1.193
4.193,1.19
0.259,
1.37,
0.62,0.973
0.54,1.077
,0.20504
,0.15219
6.54,
,0.23967
,0.20869
,0.14854
,0.09386
,0.08111
,0.65705
0.376,
,0.14945
,0.18682
,0.18135
,0.18226
,0.11482
,0.20322
,0.16859
0.21,
,0.30711
,0.21962
,0.15492
,0.13032
0.854,1.483
0.865,
5.13,
0.019503,0.561818
1.54,
0.92,1.83
,0.34356
,0.37819
0.059,0.565
3.15,
,0.22327
,0.18135
,0.113
,0.12485
,0.1212
,0.1613
1.25,
6.14,
,1.5
,1.11
,1.35
,0.21142
,0.1613
,0.32807
,0.08384
12,1.55
14,
,0.25243
,0.25243
,0.1212
,0.25243
1.55,
2.06,1.454
5.9,
2.6,
2.7,
0.685,1.242
,0.3144
,0.16495
,0.14216
,0.09751
,0.18773
,0.12667
,0.08111
,0.10389
6.8,
0.004089411,
0.0408941,
0.00597683,
0.03743383,
0.078642,
0.01604307,
0.0717219,
0.06920541,
0.206987,
,0.21598
,0.19137
,0.09295
1.5,
,0.1212
,0.12303
1.99,
0.0151,0.15
0.0264,
30,1.3
3.06,
,0.18135
,0.11574
11,
0.85,1.28
14.5,
